Wall time,Step,Value
1588498721.3913634,430,1.1266655921936035
1588498725.233475,460,0.7793468236923218
1588498757.5667064,720,0.954901397228241
1588498786.6938004,950,0.8292621970176697
1588498866.3720896,1590,0.8967450857162476
1588498877.6800034,1680,1.1399693489074707
1588498954.4395695,2300,0.888106107711792
1588498960.6240165,2350,0.8826258778572083
1588498986.6883965,2560,0.9833853840827942
1588499009.225682,2740,0.9447002410888672
1588499088.0712352,3090,0.4774526357650757
1588499090.6316416,3110,0.672136664390564
1588499100.8855724,3190,0.5304202437400818
1588499229.4226751,4220,0.5028340816497803
1588499278.018463,4610,0.681252121925354
1588499295.351424,4750,0.36800992488861084
1588499372.4831781,5370,0.602343738079071
1588499406.4441905,5640,0.4480239450931549
1588499426.7115724,5800,0.2783336043357849
1588499435.5301611,5870,0.6375002861022949
1588499530.49737,6350,0.306793212890625
1588499547.0100827,6480,0.6014931201934814
1588499564.7020414,6620,0.8949167728424072
1588499577.1488795,6720,0.6798262596130371
1588499630.715537,7150,0.32349902391433716
1588499640.6607475,7230,0.40616732835769653
1588499702.1465893,7720,0.6746160984039307
1588499719.7113283,7860,0.3617742657661438
1588499741.300095,8030,0.42085161805152893
1588499748.763016,8090,0.4469689130783081
1588499783.5835629,8370,0.6294214725494385
1588499955.6847644,9460,0.5448294281959534
1588499988.296235,9720,0.5149552822113037
1588500030.254689,10060,0.35200008749961853
1588500041.350851,10150,0.44761577248573303
1588500106.6803946,10670,0.5549137592315674
1588500154.2207184,11050,0.43996715545654297
1588500248.6161525,11810,0.30560198426246643
1588500384.142684,12620,0.5638648867607117
1588500452.1233053,13170,0.24578642845153809
1588500455.8119202,13200,0.6537178754806519
1588500472.7582688,13340,0.20157784223556519
1588500477.7122028,13380,0.7195537090301514
1588500537.0379303,13860,0.4681036174297333
1588500545.7291944,13930,0.26151835918426514
1588500600.7810307,14370,0.3757260739803314
1588500637.8911152,14670,0.5457321405410767
1588500742.8430502,15240,0.28092288970947266
1588500779.1797984,15530,0.7296913266181946
1588500799.2427094,15690,0.4112352132797241
1588500819.1753798,15850,0.4980650544166565
1588500888.122185,16410,0.5469788908958435
1588500950.801561,16920,0.5052736401557922
1588500973.0004227,17100,0.38104090094566345
1588500984.081651,17190,0.4236000180244446
1588501001.6489885,17330,0.32009032368659973
1588501004.1665266,17350,0.7710211277008057
1588501007.8546422,17380,0.5148149728775024
1588501062.7575758,17820,0.6052296161651611
1588501176.4057178,18450,0.4316394627094269
1588501187.7084467,18540,0.6572272777557373
1588501203.8348668,18670,0.539385199546814
1588501207.499067,18700,0.5305452346801758
1588501217.465148,18780,0.5624693036079407
1588501267.7847762,19180,0.3666554391384125
1588501289.505137,19350,0.40420207381248474
1588501305.8308625,19480,0.2554759681224823
1588501373.52873,20020,0.48847490549087524
1588501416.8212614,20370,0.48199665546417236
1588501467.3675249,20780,0.42087024450302124
1588501490.6908598,20970,1.116101622581482
1588501638.3858435,21880,0.5069080591201782
1588501653.5844393,22000,0.47903430461883545
1588501668.628917,22120,0.35362279415130615
1588501693.5780888,22320,0.5072741508483887
1588501701.1841943,22380,0.5035157799720764
1588501725.9730225,22580,0.5242145657539368
1588501732.050358,22630,0.3764149844646454
1588501787.2293377,23080,0.48669642210006714
1588501801.9663987,23200,0.4408668279647827
1588501844.1999583,23550,0.50560462474823
1588501886.5869744,23900,0.3266420066356659
1588501887.8605235,23910,0.3900839686393738
1588501976.6739404,24370,0.4272696077823639
1588501997.3099809,24540,0.31386229395866394
1588501999.7236147,24560,0.6406630277633667
1588502005.6418371,24610,0.5618578195571899
1588502035.8286662,24860,0.38118186593055725
1588502037.087683,24870,0.30939289927482605
1588502051.349559,24990,0.3367377817630768
1588502057.3909743,25040,0.32189881801605225
1588502092.8050504,25330,0.592930018901825
1588502111.182562,25480,0.5748502016067505
1588502118.5763862,25540,0.3810594081878662
1588502279.0297492,26860,0.3602273166179657
1588502378.812821,27410,0.48086094856262207
1588502395.7357633,27550,0.36824333667755127
1588502438.2837906,27900,0.6209927797317505
1588502568.1672714,28970,0.500860333442688
1588502654.7373102,29680,0.20144236087799072
1588502741.95834,30120,0.33082151412963867
1588502774.3183131,30390,0.4957577586174011
1588502777.9672818,30420,0.45661240816116333
1588502848.2844772,31000,0.4414864182472229
1588502923.5434668,31620,0.28642162680625916
1588502966.3432112,31970,0.5095613598823547
1588503008.3120372,32310,0.25947806239128113
1588503025.4113827,32450,0.22944375872612
1588503027.8992138,32470,0.5253455638885498
1588503029.1476152,32480,0.27794909477233887
1588503132.9629943,33060,0.3030548393726349
1588503257.8617263,34090,0.3709302842617035
1588503308.412429,34500,0.45862293243408203
1588503347.1340685,34810,0.41409042477607727
1588503526.6666203,36010,0.34591904282569885
1588503548.587039,36190,0.42659127712249756
1588503551.0107708,36210,0.5335863828659058
1588503611.3599112,36710,0.4957998991012573
1588503679.2916439,37270,0.4775218963623047
1588503697.473337,37420,0.4114026725292206
1588503760.956855,37940,0.34977760910987854
1588503786.6284647,38150,0.19717127084732056
1588503795.1041188,38220,0.41155070066452026
1588503847.5435507,38650,0.6761900782585144
1588503959.2042618,39290,0.40947651863098145
1588503992.820103,39570,0.6216485500335693
1588504027.2006907,39850,0.476081907749176
1588504091.0418334,40370,0.433864027261734
1588504167.0466921,40990,0.2927395701408386
1588504180.5884056,41100,0.44531959295272827
1588504286.721496,41970,0.41253378987312317
1588504328.2613835,42030,0.5303839445114136
1588504359.430972,42280,0.37993717193603516
1588504365.438169,42330,0.3446972370147705
1588504404.1757932,42640,0.2894494831562042
1588504454.922226,43050,0.48429998755455017
1588504470.7514,43180,0.3999306559562683
1588504473.2965775,43200,0.28921380639076233
1588504573.5788171,44010,0.3999071419239044
1588504687.5806074,44930,0.46757662296295166
1588504741.62403,45100,0.5023565888404846
1588504768.5168219,45310,0.5756322145462036
1588504892.7833622,46290,0.18222665786743164
1588504939.5097444,46650,0.3831326365470886
1588504944.7138429,46690,0.48554763197898865
1588504955.3265698,46770,0.27640971541404724
1588505051.1095855,47510,0.3722452223300934
1588505101.1023023,47890,0.27385014295578003
1588505154.5873842,48030,0.299588680267334
1588505205.6456163,48410,0.34512266516685486
1588505221.2752702,48530,0.418739378452301
1588505274.828725,48950,0.32582974433898926
1588505363.174132,49630,0.30432581901550293
1588505374.31622,49720,0.31287500262260437
1588505378.1423974,49750,0.4188481569290161
1588505474.6096404,50510,0.21593248844146729
1588505477.1219883,50530,0.6763234734535217
1588505582.1972697,51070,0.42411381006240845
1588505617.3897562,51350,0.30084264278411865
1588505748.6285968,52400,0.6073634028434753
1588505860.4540586,53300,0.3882826566696167
1588505880.3884342,53460,0.20944556593894958
1588505897.8798587,53600,0.4787582457065582
1588506009.2185745,54210,0.31385061144828796
1588506127.7663112,55160,0.2718398869037628
1588506130.2989311,55180,0.4066639542579651
1588506169.8240392,55500,0.3877844512462616
1588506216.7112777,55880,0.2471870332956314
1588506312.6587427,56650,0.3166322410106659
1588506331.3253493,56800,0.3943662941455841
1588506421.4068303,57240,0.4047166407108307
1588506528.1889796,58090,0.5113600492477417
1588506549.2767847,58260,0.31702935695648193
1588506552.9104674,58290,0.35325583815574646
1588506595.3052955,58630,0.2842830717563629
1588506597.8839283,58650,0.28185006976127625
1588506606.512079,58720,0.19810731709003448
1588506652.3864844,59080,0.3887688219547272
1588506679.295234,59290,0.3879890739917755
1588506709.6441514,59530,0.22919167578220367
1588506757.360466,59910,0.45274674892425537
1588506816.9922025,60110,0.5679426193237305
1588506957.981015,61220,0.33582818508148193
1588506970.7290845,61320,0.15753716230392456
1588507033.6108406,61820,0.36691445112228394
1588507057.2790875,62010,0.41163530945777893
1588507073.453912,62140,0.27042126655578613
1588507081.113089,62200,0.33730676770210266
1588507097.438717,62330,0.3233122229576111
1588507168.293239,62900,0.5709108114242554
1588507230.6444495,63130,0.27788615226745605
1588507236.8649814,63180,0.3554239273071289
1588507267.249649,63420,0.19363605976104736
1588507311.2213404,63770,0.503563404083252
1588507341.5050364,64010,0.28105127811431885
1588507462.8788831,64970,0.5478416085243225
1588507492.8852484,65210,0.47419095039367676
1588507560.6272523,65750,0.311440110206604
1588507630.688322,66040,0.26492178440093994
1588507698.7869349,66580,0.5233621597290039
1588507747.6794133,66970,0.23067766427993774
1588507751.3864973,67000,0.3908645808696747
1588507766.2754457,67120,0.2102946937084198
1588507806.0374143,67430,0.3282027542591095
1588507936.3771956,68470,0.27952107787132263
1588507946.3409107,68550,0.23961876332759857
1588507964.919223,68700,0.31670424342155457
1588508120.9204037,69670,0.40093398094177246
1588508153.2993813,69930,0.4611644446849823
1588508180.9150608,70150,0.3305164575576782
1588508296.1770442,71070,0.3937499523162842
1588508306.1193938,71150,0.21734008193016052
1588508357.3428085,71560,0.3814011216163635
1588508469.1679497,72170,0.3374389410018921
1588508507.9040282,72480,0.3077465891838074
1588508588.634704,73120,0.22732913494110107
1588508611.2886088,73300,0.24347886443138123
1588508623.8090296,73400,0.19718846678733826
1588508625.0599706,73410,0.15523327887058258
1588508648.7013621,73600,0.3055518865585327
1588508677.8161857,73830,0.2637229561805725
1588508702.068079,74020,0.3906261622905731
1588508764.485335,74510,0.4439062476158142
1588508777.2027822,74610,0.22375991940498352
1588508780.968012,74640,0.514540433883667
1588508800.098718,74790,0.33966904878616333
1588508876.5253723,75120,0.40692514181137085
1588508999.6693423,76100,0.22156710922718048
1588509043.0107315,76450,0.22319260239601135
1588509097.4704807,76880,0.3275156617164612
1588509104.9726706,76940,0.23619399964809418
1588509189.0389166,77610,0.31400299072265625
1588509224.3738396,77890,0.3710730969905853
1588509271.4950016,77990,0.4579196274280548
1588509315.7181766,78340,0.3475816249847412
1588509401.1366258,79010,0.4180235266685486
1588509441.999588,79330,0.37847089767456055
1588509517.474258,79920,0.22201447188854218
1588509562.0521288,80270,0.29728221893310547
1588509576.0678775,80380,0.4523738920688629
1588509591.5866983,80500,0.3755681812763214
1588509613.0105846,80670,0.32318246364593506
1588509791.8560662,81810,0.26888608932495117
1588509836.3928616,82160,0.5217897891998291
1588509843.9587257,82220,0.4355095326900482
1588509930.2744937,82910,0.2965478003025055
1588509985.568967,83350,0.3571033775806427
1588510022.3901825,83640,0.14474469423294067
1588510028.6188567,83690,0.3531361222267151
1588510040.039028,83780,0.31632280349731445
1588510188.79835,84680,0.303481787443161
1588510192.769733,84710,0.33783432841300964
1588510228.3552563,84990,0.12376997619867325
1588510240.8710485,85090,0.3397134840488434
1588510314.297621,85670,0.2879416048526764
1588510359.3628926,86020,0.242948979139328
1588510401.094872,86350,0.33674776554107666
1588510402.3548641,86360,0.37257835268974304
1588510478.2482805,86960,0.5079441070556641
1588510670.8803096,88200,0.21938404440879822
1588510674.821193,88230,0.46066775918006897
1588510746.07887,88790,0.21819788217544556
1588510778.719111,89050,0.4544637203216553
1588510782.4438968,89080,0.2211267054080963
1588510808.942631,89290,0.286058634519577
1588510817.6522028,89360,0.33453208208084106
1588510890.3781233,89940,0.3961647152900696
1588510931.8988202,90000,0.42920058965682983
1588511002.5005412,90560,0.42942896485328674
1588511012.6278038,90640,0.41346120834350586
1588511219.4459128,92270,0.2760777473449707
1588511228.2082453,92340,0.4060368537902832
1588511262.1827664,92610,0.32685622572898865
