Wall time,Step,Value
1588498721.3912253,430,0.6549926400184631
1588498725.233333,460,0.6239999532699585
1588498757.5665746,720,0.7939682006835938
1588498786.693647,950,0.5415618419647217
1588498866.3719566,1590,0.47891128063201904
1588498877.6798685,1680,0.5389278531074524
1588498954.4393861,2300,0.4811748266220093
1588498960.6238842,2350,0.514916181564331
1588498986.6880212,2560,0.6103155016899109
1588499009.2252593,2740,0.5404763221740723
1588499088.0711052,3090,0.48864492774009705
1588499090.631171,3110,0.490048348903656
1588499100.8853788,3190,0.47664573788642883
1588499229.4225314,4220,0.5054771900177002
1588499278.018313,4610,0.48236575722694397
1588499295.3509357,4750,0.4063783288002014
1588499372.4830427,5370,0.46715521812438965
1588499406.4435806,5640,0.5089633464813232
1588499426.7112124,5800,0.3903191387653351
1588499435.5297291,5870,0.4815003573894501
1588499530.4972377,6350,0.40063127875328064
1588499547.009655,6480,0.4555128216743469
1588499564.701897,6620,0.5110206604003906
1588499577.148754,6720,0.4364457428455353
1588499630.7151692,7150,0.4102153778076172
1588499640.6603472,7230,0.4704078137874603
1588499702.1462264,7720,0.48977601528167725
1588499719.7110355,7860,0.5103292465209961
1588499741.299803,8030,0.4725504517555237
1588499748.7628753,8090,0.4513434171676636
1588499783.583203,8370,0.447604775428772
1588499955.684621,9460,0.4787222445011139
1588499988.2959356,9720,0.4809700548648834
1588500030.254413,10060,0.36591836810112
1588500041.3504243,10150,0.4492977559566498
1588500106.6801088,10670,0.46758610010147095
1588500154.2204125,11050,0.4320206940174103
1588500248.6160135,11810,0.37980759143829346
1588500384.1423218,12620,0.5297293066978455
1588500452.1231775,13170,0.401846706867218
1588500455.811784,13200,0.5156557559967041
1588500472.757968,13340,0.3823311924934387
1588500477.7120721,13380,0.5407423377037048
1588500537.037626,13860,0.48708146810531616
1588500545.7289095,13930,0.3764857053756714
1588500600.7807052,14370,0.4121488332748413
1588500637.8907385,14670,0.44011515378952026
1588500742.842745,15240,0.4029223322868347
1588500779.1794746,15530,0.5137763619422913
1588500799.2424119,15690,0.4433027505874634
1588500819.1751015,15850,0.4944087862968445
1588500888.121738,16410,0.46461036801338196
1588500950.8012402,16920,0.389753133058548
1588500973.000278,17100,0.38669532537460327
1588500984.0815084,17190,0.4628657102584839
1588501001.6487184,17330,0.3416890501976013
1588501004.166321,17350,0.4609560966491699
1588501007.854319,17380,0.481299489736557
1588501062.7574074,17820,0.5305637717247009
1588501176.4053898,18450,0.4867801070213318
1588501187.7081332,18540,0.5367276072502136
1588501203.8345134,18670,0.5173308253288269
1588501207.4987457,18700,0.47310328483581543
1588501217.4648345,18780,0.4835171401500702
1588501267.784443,19180,0.4031130373477936
1588501289.504999,19350,0.41265785694122314
1588501305.8307233,19480,0.3615459203720093
1588501373.5284033,20020,0.44773536920547485
1588501416.821003,20370,0.49771612882614136
1588501467.3671496,20780,0.4610929489135742
1588501490.6906104,20970,0.5253596305847168
1588501638.385549,21880,0.4339568614959717
1588501653.5842764,22000,0.4428817629814148
1588501668.6286538,22120,0.37656038999557495
1588501693.5776632,22320,0.4503939151763916
1588501701.1840594,22380,0.4264397621154785
1588501725.972696,22580,0.44902855157852173
1588501732.0500512,22630,0.4400164783000946
1588501787.2290337,23080,0.36969393491744995
1588501801.9660912,23200,0.3707272410392761
1588501844.1996496,23550,0.44339415431022644
1588501886.5866666,23900,0.5476195812225342
1588501887.860204,23910,0.40522152185440063
1588501976.6736345,24370,0.4356313943862915
1588501997.3096702,24540,0.4351060390472412
1588501999.7232964,24560,0.4883132874965668
1588502005.6415682,24610,0.5036599636077881
1588502035.8283594,24860,0.37083178758621216
1588502037.0873497,24870,0.390960693359375
1588502051.3492196,24990,0.42321598529815674
1588502057.3908465,25040,0.47090157866477966
1588502092.8046057,25330,0.4338338077068329
1588502111.18215,25480,0.4613810181617737
1588502118.5761006,25540,0.4054862856864929
1588502279.0294008,26860,0.4930972754955292
1588502378.81256,27410,0.43312063813209534
1588502395.735491,27550,0.4188074469566345
1588502438.2835102,27900,0.4946161210536957
1588502568.166883,28970,0.4472404718399048
1588502654.7370033,29680,0.3811645805835724
1588502741.9579496,30120,0.41963857412338257
1588502774.317981,30390,0.37914907932281494
1588502777.9669883,30420,0.416593462228775
1588502848.2839234,31000,0.437595933675766
1588502923.5431411,31620,0.34578269720077515
1588502966.3429253,31970,0.425218403339386
1588503008.3117332,32310,0.49751800298690796
1588503025.411099,32450,0.37810108065605164
1588503027.8989084,32470,0.4713280498981476
1588503029.1472795,32480,0.34641361236572266
1588503132.9627166,33060,0.39159145951271057
1588503257.8614438,34090,0.42062509059906006
