Wall time,Step,Value
1588570516.5254881,430,0.6233906745910645
1588570520.2773786,460,0.6241593360900879
1588570553.0207994,720,0.8397310972213745
1588570582.0730925,950,0.573513925075531
1588570672.5567544,1680,0.5238733291625977
1588570749.5081189,2300,0.5103175640106201
1588570755.7418838,2350,0.5197165608406067
1588570781.3556035,2560,0.5785661935806274
1588570803.402481,2740,0.611862301826477
1588570879.892514,3090,0.5209745764732361
1588570882.3721638,3110,0.49779272079467773
1588570892.5930424,3190,0.46167588233947754
1588571088.7085052,4750,0.40496209263801575
1588571165.8645873,5370,0.4684830904006958
1588571219.6110067,5800,0.3894740641117096
1588571228.5896332,5870,0.4640195965766907
1588571321.447024,6350,0.4007102847099304
1588571337.738388,6480,0.44684016704559326
1588571421.6035318,7150,0.440629780292511
1588571431.5367794,7230,0.48311227560043335
1588571532.9958708,8030,0.49701541662216187
1588571540.5563264,8090,0.4870094358921051
1588571575.7688673,8370,0.49412453174591064
1588571778.3772538,9720,0.4849294424057007
1588571833.1981876,10150,0.4762369990348816
1588571899.3738723,10670,0.4771941304206848
1588571947.3600833,11050,0.4200764298439026
1588572042.5297444,11810,0.38098210096359253
1588572175.8152523,12620,0.486583948135376
1588572245.0182695,13170,0.4020942449569702
1588572248.783347,13200,0.5642402172088623
1588572266.13496,13340,0.3764593005180359
1588572271.2130413,13380,0.5453742146492004
1588572331.2214732,13860,0.4817281663417816
1588572340.0197482,13930,0.3600200414657593
1588572395.710695,14370,0.40129774808883667
1588572433.6847987,14670,0.46905767917633057
1588572573.6015818,15530,0.5339048504829407
1588572614.1736956,15850,0.48062363266944885
1588572748.7436383,16920,0.3805173635482788
1588572803.230603,17350,0.47455137968063354
1588572807.0065594,17380,0.5104554891586304
1588572971.9365196,18450,0.5256580710411072
1588573013.2802782,18780,0.4956832826137543
1588573062.669119,19180,0.4349096119403839
1588573099.965306,19480,0.3613653779029846
1588573211.2091293,20370,0.5278061628341675
1588573286.519352,20970,0.5347017049789429
1588573434.6621008,21880,0.4128597676753998
1588573449.963777,22000,0.4480747580528259
1588573490.7605462,22320,0.44921138882637024
1588573530.2160518,22630,0.4594416618347168
1588573587.0202956,23080,0.3862711191177368
1588573691.2644963,23900,0.5497074127197266
1588573782.8138142,24370,0.4452555179595947
1588573805.426856,24540,0.4394484758377075
1588573808.014034,24560,0.48283231258392334
1588573814.2862184,24610,0.48862409591674805
1588573848.226033,24860,0.38922351598739624
1588573849.5626361,24870,0.4008086919784546
1588573864.7173734,24990,0.444288045167923
1588573870.7973738,25040,0.47087371349334717
1588573907.0428696,25330,0.4527924358844757
1588574099.6434762,26860,0.46573004126548767
1588574200.9265552,27410,0.4380030035972595
1588574486.648941,29680,0.3816385269165039
1588574608.1105876,30390,0.3784480690956116
1588574611.9682918,30420,0.43742120265960693
1588574763.0267112,31620,0.34534063935279846
1588574851.0611973,32310,0.48397567868232727
1588574871.3036807,32470,0.4803301692008972
1588574872.5604403,32480,0.3595438301563263
1588574978.7072036,33060,0.381658136844635
1588575199.821225,34810,0.4567416310310364
1588575407.8133197,36190,0.41451019048690796
1588575410.390462,36210,0.49852970242500305
1588575473.8430731,36710,0.44245076179504395
1588575562.901576,37420,0.4964410662651062
1588575654.1487918,38150,0.38306665420532227
1588575662.9259634,38220,0.503493070602417
1588575831.5174618,39290,0.42248040437698364
1588575867.4038818,39570,0.4638385772705078
1588575969.9047995,40370,0.475188672542572
1588576052.0651464,40990,0.3961266279220581
1588576182.0684752,41970,0.4704064130783081
1588576259.2246475,42330,0.39387303590774536
1588576367.5077698,43180,0.4406576156616211
1588576473.630161,44010,0.4856528043746948
1588576594.5895548,44930,0.44212663173675537
1588576649.7836163,45100,0.406491219997406
1588576677.6163363,45310,0.47543442249298096
1588576853.0230968,46650,0.38445574045181274
1588576858.3440862,46690,0.5071851015090942
1588576868.7470686,46770,0.33932554721832275
1588577017.3923984,47890,0.37125644087791443
1588577068.5045037,48030,0.4097687602043152
1588577118.237154,48410,0.3875996172428131
1588577188.7448106,48950,0.39466989040374756
1588577291.8003902,49720,0.34159669280052185
1588577395.4471352,50510,0.40715283155441284
1588577398.095125,50530,0.5263314247131348
1588577500.0034354,51070,0.4439118504524231
1588577536.6395683,51350,0.4082986116409302
1588577817.4578292,53460,0.35426145792007446
1588577835.9292724,53600,0.4369082450866699
1588577947.7320738,54210,0.3687586784362793
1588578110.8738387,55500,0.4750061631202698
1588578274.479083,56800,0.45696431398391724
1588578360.804072,57240,0.43751248717308044
1588578467.109224,58090,0.40360110998153687
1588578537.431041,58650,0.393215537071228
1588578546.2657673,58720,0.3546940088272095
1588578591.5046663,59080,0.4351681172847748
1588578696.1833313,59910,0.39653488993644714
1588578906.7204509,61320,0.3058015704154968
1588578993.7776966,62010,0.45239412784576416
1588579017.6814153,62200,0.41708365082740784
1588579105.5574827,62900,0.5305010080337524
1588579166.0752583,63130,0.4077685475349426
1588579246.5190666,63770,0.5062155723571777
1588579425.4484086,65210,0.41854000091552734
1588579492.8477433,65750,0.405759334564209
1588579559.9565494,66040,0.39141273498535156
1588579677.2887118,66970,0.3370368182659149
1588579681.1494749,67000,0.44480884075164795
1588579695.8440804,67120,0.38860857486724854
1588579875.5737145,68550,0.37360817193984985
1588580047.2045283,69670,0.3823745846748352
1588580079.894252,69930,0.48966920375823975
1588580233.4024913,71150,0.37609368562698364
1588580285.4200988,71560,0.41195231676101685
1588580510.908436,73120,0.3640986382961273
1588580599.540021,73830,0.3253823518753052
1588580683.6827526,74510,0.40401166677474976
1588580696.1517007,74610,0.2995566427707672
1588580699.818439,74640,0.4072381258010864
1588580718.0814703,74790,0.4782611131668091
1588580790.5977643,75120,0.4403742551803589
1588581017.6916306,76940,0.4566177725791931
1588581136.6495345,77890,0.3915759325027466
1588581180.382288,77990,0.48717522621154785
1588581223.4891918,78340,0.39623114466667175
1588581422.301237,79920,0.3512576222419739
1588581517.5885074,80670,0.37334245443344116
1588581695.1007047,81810,0.4495227336883545
1588581748.2568023,82220,0.40920865535736084
1588581933.9099243,83640,0.3174556791782379
1588581940.6712773,83690,0.39145976305007935
1588581952.594474,83780,0.40284961462020874
1588582105.2710106,84710,0.3673989772796631
1588582141.3822403,84990,0.2971802055835724
1588582154.464607,85090,0.4199414849281311
1588582274.4633691,86020,0.3135516047477722
1588582318.1083722,86360,0.40760913491249084
1588582394.844508,86960,0.40532737970352173
1588582660.6242566,88790,0.3304193317890167
1588582698.4839768,89080,0.37040653824806213
1588582726.0036967,89290,0.42501378059387207
1588582735.4202263,89360,0.4679543375968933
1588582811.7721877,89940,0.43827053904533386
1588582922.5826378,90560,0.470615416765213
1588583190.694377,92610,0.44377440214157104
1588583295.8975813,93170,0.4190060794353485
1588583337.55482,93490,0.3932780623435974
1588583448.8216097,94360,0.38424837589263916
1588583490.418963,94690,0.33762508630752563
1588583598.4836426,95550,0.351982057094574
1588583614.6202278,95680,0.3616926670074463
1588583760.8088288,96580,0.4336245059967041
1588583790.1409562,96810,0.40949684381484985
1588583813.4213529,96990,0.4101201295852661
1588584002.2601063,98440,0.4840466380119324
1588584117.4252849,99080,0.3901488184928894
1588584312.0354233,100590,0.4076365530490875
1588584345.9340158,100850,0.3869183659553528
1588584625.8810668,102770,0.49292105436325073
1588584634.499465,102840,0.35041481256484985
1588584780.9176514,104000,0.42970457673072815
1588584881.4238522,104800,0.3899068236351013
1588584967.6058218,105230,0.45597022771835327
1588585074.797733,106080,0.47325873374938965
1588585113.3048065,106390,0.4689734876155853
1588585133.5967333,106550,0.42859986424446106
1588585206.1176467,107120,0.39636775851249695
1588585264.6279497,107580,0.3432992994785309
1588585265.8532364,107590,0.4451900124549866
1588585293.1762958,107810,0.4142385423183441
1588585401.5488276,108420,0.431736558675766
1588585412.8073564,108510,0.4111446738243103
1588585478.8630984,109030,0.39317694306373596
1588585482.7946265,109060,0.37961670756340027
1588585530.7471068,109440,0.38845211267471313
1588585559.532089,109670,0.4187124967575073
1588585566.9738865,109730,0.4303761124610901
1588585569.5210736,109750,0.3497600257396698
1588585627.444223,110210,0.44975531101226807
1588585763.6707335,111030,0.468650221824646
1588585788.4077039,111220,0.39818158745765686
1588585799.72061,111310,0.39790964126586914
1588585887.058487,111990,0.36732763051986694
1588585889.5586877,112010,0.4336640238761902
1588585966.1979036,112610,0.44243884086608887
1588586199.9616005,114200,0.3574939966201782
1588586269.3676414,114730,0.3164083957672119
1588586295.4917467,114930,0.3543318510055542
1588586336.0824165,115240,0.4541448950767517
1588586347.8562443,115330,0.4039444923400879
1588586392.0310638,115670,0.37543678283691406
1588586499.0347934,116490,0.43341344594955444
1588586546.972695,116860,0.4302598834037781
1588586675.3196712,117600,0.4674765467643738
1588586826.0268881,118740,0.3334338366985321
1588586951.9088967,119700,0.38961291313171387
1588586958.4149196,119750,0.42451220750808716
1588587039.0258696,120110,0.3993452489376068
1588587079.8588479,120420,0.3615657687187195
1588587207.2549858,121390,0.40614116191864014
1588587241.7730074,121650,0.38634929060935974
1588587267.779541,121850,0.38064664602279663
1588587405.5706475,122910,0.3262166678905487
1588587589.1650107,124060,0.3947833180427551
1588587658.7101781,124590,0.4351491332054138
1588587974.3090034,126720,0.37343913316726685
1588588243.6813698,128780,0.37077656388282776
1588588355.7138417,129400,0.42865484952926636
1588588455.4449513,130180,0.4474892318248749
1588588477.5690303,130350,0.39624619483947754
1588588512.0217414,130620,0.3448248505592346
1588588538.9927802,130830,0.3930322527885437
1588588554.5475798,130950,0.46472299098968506
1588588573.8166895,131100,0.3201028108596802
1588588773.8477602,132400,0.3852616548538208
1588588983.2898924,134030,0.377022922039032
1588588988.5466034,134070,0.3678174316883087
1588589146.8608236,135050,0.3888338506221771
1588589200.9757133,135470,0.36462366580963135
1588589267.269776,135980,0.46137359738349915
1588589296.226517,136210,0.40239402651786804
1588589372.4336433,136800,0.3676612079143524
1588589574.4686189,138110,0.3523483872413635
1588589670.381489,138850,0.3984372913837433
1588589924.3755915,140810,0.34413230419158936
1588590140.3716726,142220,0.4178619086742401
1588590223.64991,142880,0.38267502188682556
1588590232.844796,142950,0.4000852704048157
1588590265.026018,143210,0.3982139825820923
1588590288.054714,143390,0.4214392602443695
1588590396.316792,143980,0.28888919949531555
1588590461.9255266,144480,0.3741336166858673
1588590700.5136962,146330,0.33110111951828003
1588590708.071454,146390,0.47119951248168945
1588590746.7433195,146690,0.4272552728652954
1588590758.3836186,146780,0.34034907817840576
1588590771.132599,146880,0.3769404888153076
1588590920.013236,147800,0.35156309604644775
1588590931.3040607,147890,0.4093782901763916
1588590957.8300998,148100,0.42352086305618286
1588591038.7753818,148740,0.4349896311759949
1588591062.6480806,148930,0.4454823136329651
1588591350.2481022,150910,0.4411010146141052
1588591466.7746964,151810,0.39470821619033813
1588591576.5515206,152670,0.5028657913208008
1588591682.8150198,153250,0.47344082593917847
1588591869.7010667,154740,0.4283502995967865
1588591872.247836,154760,0.3903927206993103
1588591912.4387434,155080,0.40233269333839417
1588591951.8705413,155390,0.4133974313735962
1588592236.5588775,157410,0.3235679864883423
1588592266.5398233,157650,0.40922290086746216
1588592277.8763351,157740,0.4677175283432007
1588592346.9040918,158290,0.4093725383281708
1588592584.1629155,159940,0.32270169258117676
1588592713.428382,160960,0.38047701120376587
1588592739.7299352,161170,0.34477129578590393
1588592937.351443,162500,0.3333658277988434
1588593028.0926108,163220,0.44749268889427185
1588593055.7062833,163440,0.39793139696121216
