Wall time,Step,Value
1588570516.5259283,430,0.013149011880159378
1588570520.2779007,460,0.01451700646430254
1588570553.0212846,720,0.012029735371470451
1588570582.073553,950,0.011387832462787628
1588570672.5571845,1680,0.010459689423441887
1588570749.5086465,2300,0.012609681114554405
1588570755.74245,2350,0.012042076326906681
1588570781.3561208,2560,0.01349829975515604
1588570803.4029415,2740,0.012567616067826748
1588570879.8931355,3090,0.01158430241048336
1588570882.3726633,3110,0.011450329795479774
1588570892.5935915,3190,0.015320278704166412
1588571088.7089808,4750,0.015605571679770947
1588571165.8651254,5370,0.01608247309923172
1588571219.6115482,5800,0.014048854820430279
1588571228.5900357,5870,0.015898210927844048
1588571321.4475954,6350,0.02096175029873848
1588571337.7388456,6480,0.0167892724275589
1588571421.603964,7150,0.016879474744200706
1588571431.53733,7230,0.014150746166706085
1588571532.9963925,8030,0.020018989220261574
1588571540.5568328,8090,0.017338331788778305
1588571575.769367,8370,0.015819517895579338
1588571778.3777304,9720,0.017944343388080597
1588571833.1986804,10150,0.01976509764790535
1588571899.3745363,10670,0.01880190335214138
1588571947.3606327,11050,0.015616602264344692
1588572042.5303063,11810,0.023226425051689148
1588572175.815799,12620,0.01714346930384636
1588572245.0188253,13170,0.019481664523482323
1588572248.783819,13200,0.022782519459724426
1588572266.1355162,13340,0.025681840255856514
1588572271.2135046,13380,0.02267485298216343
1588572331.2219927,13860,0.015804391354322433
1588572340.0203316,13930,0.01976044476032257
1588572395.7111564,14370,0.01810312271118164
1588572433.6853318,14670,0.018499594181776047
1588572573.602092,15530,0.02254505269229412
1588572614.174187,15850,0.020568637177348137
1588572748.744147,16920,0.017890552058815956
1588572803.2310967,17350,0.020398015156388283
1588572807.0070918,17380,0.020091118291020393
1588572971.93697,18450,0.021234922111034393
1588573013.2807941,18780,0.024809546768665314
1588573062.6696515,19180,0.021693434566259384
1588573099.9657576,19480,0.014524446800351143
1588573211.2096608,20370,0.015335800126194954
1588573286.5198073,20970,0.027156032621860504
1588573434.6625547,21880,0.025520093739032745
1588573449.964399,22000,0.02337520942091942
1588573490.7610593,22320,0.022429848089814186
1588573530.2165484,22630,0.020711014047265053
1588573587.0207398,23080,0.02193484455347061
1588573691.2649324,23900,0.016842927783727646
1588573782.8144608,24370,0.018938861787319183
1588573805.4272864,24540,0.01857006549835205
1588573808.0146544,24560,0.022424302995204926
1588573814.2866764,24610,0.02130652405321598
